debugC0efH:debugghBgF,initialized,0,,1680921493852
debugC0efH:debugghBgF,window_resize,0,"[1024, 768]",1680921493852
debugC0efH:debugghBgF,focus,62,on,1680921493914
debugS0qbJ:debugKo1tc,initialized,0,,1681230734565
debugS0qbJ:debugKo1tc,window_resize,0,"[1024, 768]",1681230734565
debugS0qbJ:debugKo1tc,focus,67,on,1681230734632
debugB8eoE:debugv0OhH,initialized,0,,1680921635194
debugB8eoE:debugv0OhH,window_resize,0,"[1024, 768]",1680921635194
debugB8eoE:debugv0OhH,focus,64,on,1680921635258
debugGqk5n:debug9qLqr,initialized,0,,1680926414127
debugGqk5n:debug9qLqr,window_resize,0,"[1024, 768]",1680926414127
debugGqk5n:debug9qLqr,focus,68,on,1680926414195
debugW8qj1:debugbzdjq,initialized,0,,1681134473839
debugW8qj1:debugbzdjq,window_resize,0,"[1366, 676]",1681134473839
debugW8qj1:debugbzdjq,focus,54059,off,1681134527898
debugW8qj1:debugbzdjq,focus,132737,on,1681134660635
debugW8qj1:debugbzdjq,focus,31568,off,1681134692203
debugW8qj1:debugbzdjq,focus,26024,on,1681134718227
debugW8qj1:debugbzdjq,focus,30735,off,1681134748962
debugW8qj1:debugbzdjq,focus,189461,on,1681134938423
debugW8qj1:debugbzdjq,focus,7046,off,1681134945469
debugW8qj1:debugbzdjq,focus,2899,on,1681134948368
debugW8qj1:debugbzdjq,focus,3598,off,1681134951966
debugW8qj1:debugbzdjq,focus,9329,on,1681134961295
debugW8qj1:debugbzdjq,focus,1766,off,1681134963061
debugW8qj1:debugbzdjq,focus,10869,on,1681134973930
debugL5FHE:debugpmbqc,initialized,0,,1681192482989
debugL5FHE:debugpmbqc,window_resize,0,"[1024, 768]",1681192482989
debugL5FHE:debugpmbqc,focus,58,on,1681192483047
debugBVMjF:debugxdKZl,initialized,0,,1681402717172
debugBVMjF:debugxdKZl,window_resize,0,"[1024, 768]",1681402717172
debugBVMjF:debugxdKZl,focus,52,on,1681402717224
debugLlbJ4:debugJwG9b,initialized,0,,1681402706763
debugLlbJ4:debugJwG9b,window_resize,0,"[1024, 660]",1681402706763
debugLlbJ4:debugJwG9b,window_resize,379360,"[1366, 676]",1681403086123
debugGlOnh:debugfbEKD,initialized,0,,1681404128702
debugGlOnh:debugfbEKD,window_resize,0,"[1024, 768]",1681404128702
debugGlOnh:debugfbEKD,focus,56,on,1681404128758
<<<<<<< Updated upstream
=======
debugYI3O3S:debugFP14VL,initialized,0,,1681446322903
debugYI3O3S:debugFP14VL,window_resize,0,"[1024, 768]",1681446322903
debugYI3O3S:debugFP14VL,focus,212,on,1681446323115
debug91XJGV:debugSAHESU,initialized,0,,1681444651212
debug91XJGV:debugSAHESU,window_resize,0,"[1024, 768]",1681444651212
debug91XJGV:debugSAHESU,focus,212,on,1681444651424
debugW9FASE:debug72YFKI,initialized,0,,1681445725716
debugW9FASE:debug72YFKI,window_resize,0,"[1024, 768]",1681445725716
debugW9FASE:debug72YFKI,focus,201,on,1681445725917
debugMNxzO:debugIScUq,initialized,0,,1681451753097
debugMNxzO:debugIScUq,window_resize,0,"[1024, 768]",1681451753097
debugMNxzO:debugIScUq,focus,61,on,1681451753158
debugYUUPDW:debug1FK3OL,initialized,0,,1681445868384
debugYUUPDW:debug1FK3OL,window_resize,0,"[1024, 768]",1681445868384
debugYUUPDW:debug1FK3OL,focus,175,on,1681445868559
debug02xgD:debug4Z6q0,initialized,0,,1681492093328
debug02xgD:debug4Z6q0,window_resize,0,"[1024, 767]",1681492093328
debug02xgD:debug4Z6q0,window_resize,30305,"[1222, 900]",1681492123633
debug02xgD:debug4Z6q0,window_resize,636,"[1229, 895]",1681492124269
debugTM0Ow:debugSG6fH,initialized,0,,1681491639448
debugTM0Ow:debugSG6fH,window_resize,0,"[1024, 669]",1681491639448
debugTM0Ow:debugSG6fH,focus,142013,off,1681491781461
